YEAR,MONTH,RED WINE
1980,January,464
1980,February,675
1980,March,703
1980,April,887
1980,May,1139
1980,June,1077
1980,July,1318
1980,August,1260
1980,September,1120
1980,October,963
1980,November,996
1980,December,960
1981,January,530
1981,February,883
1981,March,894
1981,April,1045
1981,May,1199
1981,June,1287
1981,July,1565
1981,August,1577
1981,September,1076
1981,October,918
1981,November,1008
1981,December,1063
1982,January,544
1982,February,635
1982,March,804
1982,April,980
1982,May,1018
1982,June,1064
1982,July,1404
1982,August,1286
1982,September,1104
1982,October,999
1982,November,996
1982,December,1015
1983,January,615
1983,February,722
1983,March,832
1983,April,977
1983,May,1270
1983,June,1437
1983,July,1520
1983,August,1708
1983,September,1151
1983,October,934
1983,November,1159
1983,December,1209
1984,January,699
1984,February,830
1984,March,996
1984,April,1124
1984,May,1458
1984,June,1270
1984,July,1753
1984,August,2258
1984,September,1208
1984,October,1241
1984,November,1265
1984,December,1828
1985,January,809
1985,February,997
1985,March,1164
1985,April,1205
1985,May,1538
1985,June,1513
1985,July,1378
1985,August,2083
1985,September,1357
1985,October,1536
1985,November,1526
1985,December,1376
1986,January,779
1986,February,1005
1986,March,1193
1986,April,1522
1986,May,1539
1986,June,1546
1986,July,2116
1986,August,2326
1986,September,1596
1986,October,1356
1986,November,1553
1986,December,1613
1987,January,814
1987,February,1150
1987,March,1225
1987,April,1691
1987,May,1759
1987,June,1754
1987,July,2100
1987,August,2062
1987,September,2012
1987,October,1897
1987,November,1964
1987,December,2186
1988,January,966
1988,February,1549
1988,March,1538
1988,April,1612
1988,May,2078
1988,June,2137
1988,July,2907
1988,August,2249
1988,September,1883
1988,October,1739
1988,November,1828
1988,December,1868
1989,January,1138
1989,February,1430
1989,March,1809
1989,April,1763
1989,May,2200
1989,June,2067
1989,July,2503
1989,August,2141
1989,September,2103
1989,October,1972
1989,November,2181
1989,December,2344
1990,January,970
1990,February,1199
1990,March,1718
1990,April,1683
1990,May,2025
1990,June,2051
1990,July,2439
1990,August,2353
1990,September,2230
1990,October,1852
1990,November,2147
1990,December,2286
1991,January,1007
1991,February,1665
1991,March,1642
1991,April,1518
1991,May,1831
1991,June,2207
1991,July,2822
1991,August,2393
1991,September,2306
1991,October,1785
1991,November,2047
1991,December,2171
1992,January,1212
1992,February,1335
1992,March,2011
1992,April,1860
1992,May,1954
1992,June,2152
1992,July,2835
1992,August,2224
1992,September,2182
1992,October,1992
1992,November,2389
1992,December,2724
1993,January,891
1993,February,1247
1993,March,2017
1993,April,2257
1993,May,2255
1993,June,2255
1993,July,3057
1993,August,3330
1993,September,1896
1993,October,2096
1993,November,2374
1993,December,2535
1994,January,1041
1994,February,1728
1994,March,2201
1994,April,2455
1994,May,2204
1994,June,2660
1994,July,3670
1994,August,2665
1994,September,2639
1994,October,2226
1994,November,2586
1994,December,2684
1995,January,1185
1995,February,1749
1995,March,2459
1995,April,2618
1995,May,2585
1995,June,3310
1995,July,3923
